name,stem_percent,total_cost,rank,diversity_percent,mid_career_pay,makes_six_figures
Adams State University,3.0,72888,16.0,0.3845909955611921,81400.0,False
Alabama State University,16.0,65960,20.0,0.9249864105816272,71500.0,False
Albany College of Pharmacy and Health Sciences,2.0,184100,1.0,0.2380038387715931,144800.0,True
Albertus Magnus College,2.0,181040,18.0,0.4948387096774193,85900.0,False
Albion College,23.0,232620,7.0,0.1206624605678233,99300.0,False
Alcorn State University,19.0,67008,10.0,0.9560318768892552,69500.0,False
Alma College,15.0,205024,15.0,0.1174785100286533,89900.0,False
Amherst College,32.0,284664,10.0,0.4347098214285714,116500.0,True
Andrews University,7.0,153464,21.0,0.4590403744880046,85000.0,False
Appalachian State University,9.0,62072,15.0,0.1136691445689559,82700.0,False
Arkansas Tech University,7.0,67752,13.0,0.1865522412931178,76900.0,False
Asbury University,4.0,149432,20.0,0.1351782863225119,70800.0,False
Athens State University,9.0,27240,15.0,0.1857416879795396,78800.0,False
Auburn University,31.0,98432,1.0,0.1261577647422044,104500.0,True
Auburn University at Montgomery,12.0,69072,13.0,0.3838244018192604,79600.0,False
Augusta University,10.0,81592,13.0,0.3705558337506259,84400.0,False
Austin Peay State University,10.0,76444,20.0,0.3171793096627435,78200.0,False
Avila University,3.0,108400,17.0,0.3025694808599895,81200.0,False
Baker University,2.0,152960,10.0,0.1944538383496787,84200.0,False
Ball State University,7.0,80520,22.0,0.1329460179133381,83700.0,False
Barnard College,19.0,289028,19.0,0.3715507190050525,109800.0,True
Barry University,12.0,163800,24.0,0.5201925334585583,84400.0,False
Bates College,23.0,276072,3.0,0.2047377326565143,111900.0,True
Baylor University,16.0,233288,12.0,0.3064625222898604,101400.0,True
Belhaven University,2.0,135200,7.0,0.6096256684491979,74300.0,False
Bellarmine University,11.0,217800,3.0,0.1310612357993904,90700.0,False
Bellevue College,14.0,8516,18.0,0.3775335956641176,88500.0,False
Bellevue University,23.0,72480,10.0,0.2376758781253163,84800.0,False
Belmont Abbey College,7.0,115420,14.0,0.2807692307692307,82900.0,False
Belmont University,3.0,185720,17.0,0.1420485919381557,80900.0,False
Beloit College,24.0,235480,17.0,0.1772831926323868,85700.0,False
Benedict College,19.0,91200,24.0,0.995090016366612,67500.0,False
Benedictine College,13.0,159320,3.0,0.1487371375116931,91800.0,False
Bentley University,7.0,264800,9.0,0.1820305480682839,116600.0,True
Berea College,27.0,187016,19.0,0.2813078346699568,71600.0,False
Berry College,21.0,197304,12.0,0.1469912723932016,84900.0,False
Black Hills State University,11.0,62844,10.0,0.1194029850746268,72600.0,False
