name,total_enrollment,state,category,enrollment,region,diversity_percent
University of Phoenix-Arizona,195059,Arizona,Women,134722,west,0.6906730784019194
University of Phoenix-Arizona,195059,Arizona,American Indian / Alaska Native,876,west,0.0044909488923864
University of Phoenix-Arizona,195059,Arizona,Asian,1959,west,0.0100431151600285
University of Phoenix-Arizona,195059,Arizona,Black,31455,west,0.1612589011529844
University of Phoenix-Arizona,195059,Arizona,Hispanic,13984,west,0.0716911293506067
University of Phoenix-Arizona,195059,Arizona,Native Hawaiian / Pacific Islander,1019,west,0.0052240604124905
University of Phoenix-Arizona,195059,Arizona,White,58209,west,0.2984174019142926
University of Phoenix-Arizona,195059,Arizona,Two Or More Races,19039,west,0.0976063652535899
University of Phoenix-Arizona,195059,Arizona,Unknown,65163,west,0.3340681537380997
University of Phoenix-Arizona,195059,Arizona,Non-Resident Foreign,3355,west,0.0171999241255209
University of Phoenix-Arizona,195059,Arizona,Total Minority,68332,west,0.3503145202220866
Ivy Tech Community College-Central Indiana,91179,Indiana,Women,53476,midwest,0.5864946972438829
Ivy Tech Community College-Central Indiana,91179,Indiana,American Indian / Alaska Native,357,midwest,0.0039153752508801
Ivy Tech Community College-Central Indiana,91179,Indiana,Asian,1369,midwest,0.0150144221805459
Ivy Tech Community College-Central Indiana,91179,Indiana,Black,12370,midwest,0.1356672040711128
Ivy Tech Community College-Central Indiana,91179,Indiana,Hispanic,5533,midwest,0.0606828326698033
Ivy Tech Community College-Central Indiana,91179,Indiana,Native Hawaiian / Pacific Islander,0,midwest,0.0
Ivy Tech Community College-Central Indiana,91179,Indiana,White,61498,midwest,0.6744754822930719
Ivy Tech Community College-Central Indiana,91179,Indiana,Two Or More Races,1804,midwest,0.0197852575702738
Ivy Tech Community College-Central Indiana,91179,Indiana,Unknown,8224,midwest,0.0901962074600511
Ivy Tech Community College-Central Indiana,91179,Indiana,Non-Resident Foreign,24,midwest,0.0002632185042608
Ivy Tech Community College-Central Indiana,91179,Indiana,Total Minority,21433,midwest,0.2350650917426161
Liberty University,81459,Virginia,Women,48329,south,0.5932923311113566
Liberty University,81459,Virginia,American Indian / Alaska Native,447,south,0.0054874231208337
Liberty University,81459,Virginia,Asian,856,south,0.0105083538958248
Liberty University,81459,Virginia,Black,14751,south,0.1810849629875152
Liberty University,81459,Virginia,Hispanic,1186,south,0.0145594716360377
Liberty University,81459,Virginia,Native Hawaiian / Pacific Islander,151,south,0.0018536932690064
Liberty University,81459,Virginia,White,39062,south,0.4795295792975607
Liberty University,81459,Virginia,Two Or More Races,1772,south,0.0217532746535066
Liberty University,81459,Virginia,Unknown,22198,south,0.2725051866583189
Liberty University,81459,Virginia,Non-Resident Foreign,1036,south,0.0127180544813955
Liberty University,81459,Virginia,Total Minority,19163,south,0.2352471795627248
Lone Star College system,69395,Texas,Women,41268,south,0.594682614021183
Lone Star College system,69395,Texas,American Indian / Alaska Native,168,south,0.0024209236976727
Lone Star College system,69395,Texas,Asian,4198,south,0.0604942719216081
Lone Star College system,69395,Texas,Black,12094,south,0.1742776857122271
Lone Star College system,69395,Texas,Hispanic,23751,south,0.342258087758484
Lone Star College system,69395,Texas,Native Hawaiian / Pacific Islander,0,south,0.0
Lone Star College system,69395,Texas,White,23615,south,0.3402982923841775
Lone Star College system,69395,Texas,Two Or More Races,1997,south,0.0287772894300742
Lone Star College system,69395,Texas,Unknown,2273,south,0.032754521219108
Lone Star College system,69395,Texas,Non-Resident Foreign,1299,south,0.0187189278766481
Lone Star College system,69395,Texas,Total Minority,42208,south,0.6082282585200662
Miami Dade College,66046,Florida,Women,38323,south,0.5802471005057082
Miami Dade College,66046,Florida,American Indian / Alaska Native,47,south,0.0007116252308996
Miami Dade College,66046,Florida,Asian,655,south,0.0099173303455167
Miami Dade College,66046,Florida,Black,10722,south,0.1623413984192835
Miami Dade College,66046,Florida,Hispanic,44870,south,0.679374981073797
Miami Dade College,66046,Florida,Native Hawaiian / Pacific Islander,41,south,0.0006207794567422
Miami Dade College,66046,Florida,White,4170,south,0.0631378130393967
Miami Dade College,66046,Florida,Two Or More Races,226,south,0.0034218574932622
Miami Dade College,66046,Florida,Unknown,1927,south,0.0291766344668867
Miami Dade College,66046,Florida,Non-Resident Foreign,3388,south,0.0512975804742149
Miami Dade College,66046,Florida,Total Minority,56561,south,0.8563879720195016
Grand Canyon University,62304,Arizona,Women,46647,west,0.7486999229583975
Grand Canyon University,62304,Arizona,American Indian / Alaska Native,586,west,0.0094054956343091
Grand Canyon University,62304,Arizona,Asian,2446,west,0.039259116589625
Grand Canyon University,62304,Arizona,Black,13856,west,0.2223934257832563
Grand Canyon University,62304,Arizona,Hispanic,8933,west,0.1433776322547509
Grand Canyon University,62304,Arizona,Native Hawaiian / Pacific Islander,295,west,0.0047348484848484
Grand Canyon University,62304,Arizona,White,28715,west,0.4608853364149974
Grand Canyon University,62304,Arizona,Two Or More Races,1558,west,0.0250064201335387
Grand Canyon University,62304,Arizona,Unknown,5915,west,0.0949377247046738
Grand Canyon University,62304,Arizona,Non-Resident Foreign,0,west,0.0
Grand Canyon University,62304,Arizona,Total Minority,27674,west,0.4441769388803287
Texas A&M University at College Station,61642,Texas,Women,29277,south,0.4749521430193699
Texas A&M University at College Station,61642,Texas,American Indian / Alaska Native,173,south,0.002806528016612
Texas A&M University at College Station,61642,Texas,Asian,3545,south,0.0575094902825995
Texas A&M University at College Station,61642,Texas,Black,1879,south,0.0304824632555725
Texas A&M University at College Station,61642,Texas,Hispanic,11256,south,0.1826027708380649
Texas A&M University at College Station,61642,Texas,Native Hawaiian / Pacific Islander,59,south,0.0009571396126017
Texas A&M University at College Station,61642,Texas,White,37458,south,0.6076700950650531
Texas A&M University at College Station,61642,Texas,Two Or More Races,1644,south,0.0266701275104636
Texas A&M University at College Station,61642,Texas,Unknown,383,south,0.0062132961292625
Texas A&M University at College Station,61642,Texas,Non-Resident Foreign,5245,south,0.0850880892897699
Texas A&M University at College Station,61642,Texas,Total Minority,18556,south,0.3010285195159144
University of Central Florida,60767,Florida,Women,33482,south,0.5509898464627182
University of Central Florida,60767,Florida,American Indian / Alaska Native,120,south,0.0019747560353481
University of Central Florida,60767,Florida,Asian,3343,south,0.05501341188474
University of Central Florida,60767,Florida,Black,6400,south,0.1053203218852337
University of Central Florida,60767,Florida,Hispanic,13108,south,0.2157091842611944
University of Central Florida,60767,Florida,Native Hawaiian / Pacific Islander,129,south,0.0021228627379992
University of Central Florida,60767,Florida,White,33293,south,0.547879605707045
University of Central Florida,60767,Florida,Two Or More Races,1841,south,0.0302960488422992
University of Central Florida,60767,Florida,Unknown,1018,south,0.0167525136998699
University of Central Florida,60767,Florida,Non-Resident Foreign,1515,south,0.0249312949462701
University of Central Florida,60767,Florida,Total Minority,24941,south,0.4104365856468149
Ohio State University,58322,Ohio,Women,28658,midwest,0.4913754672336339
Ohio State University,58322,Ohio,American Indian / Alaska Native,76,midwest,0.0013031103185761
Ohio State University,58322,Ohio,Asian,3339,midwest,0.0572511230753403
Ohio State University,58322,Ohio,Black,3108,midwest,0.0532903535544048
Ohio State University,58322,Ohio,Hispanic,2049,midwest,0.0351325400363499
Ohio State University,58322,Ohio,Native Hawaiian / Pacific Islander,35,midwest,0.0006001165940811
Ohio State University,58322,Ohio,White,40283,midwest,0.6906999074105826
Ohio State University,58322,Ohio,Two Or More Races,1503,midwest,0.0257707211686842
Ohio State University,58322,Ohio,Unknown,1753,midwest,0.0300572682692637
Ohio State University,58322,Ohio,Non-Resident Foreign,6176,midwest,0.1058948595727169
Ohio State University,58322,Ohio,Total Minority,10110,midwest,0.1733479647474366
Houston Community College,58276,Texas,Women,34007,south,0.5835506898208525
Houston Community College,58276,Texas,American Indian / Alaska Native,116,south,0.0019905278330702
Houston Community College,58276,Texas,Asian,5391,south,0.0925080650696684
Houston Community College,58276,Texas,Black,18520,south,0.3177980643832795
Houston Community College,58276,Texas,Hispanic,18411,south,0.3159276546091015
Houston Community College,58276,Texas,Native Hawaiian / Pacific Islander,130,south,0.0022307639508545
Houston Community College,58276,Texas,White,8368,south,0.1435925595442377
Houston Community College,58276,Texas,Two Or More Races,880,south,0.0151005559750154
Houston Community College,58276,Texas,Unknown,1151,south,0.0197508408264122
Houston Community College,58276,Texas,Non-Resident Foreign,5309,south,0.0911009678083602
Houston Community College,58276,Texas,Total Minority,43448,south,0.7455556318209898
Western Governors University,57821,Utah,Women,35024,west,0.605731481641618
Western Governors University,57821,Utah,American Indian / Alaska Native,360,west,0.0062261116203455
Western Governors University,57821,Utah,Asian,2195,west,0.0379619861296068
Western Governors University,57821,Utah,Black,5442,west,0.0941180539942235
Western Governors University,57821,Utah,Hispanic,4291,west,0.0742117915636187
Western Governors University,57821,Utah,Native Hawaiian / Pacific Islander,288,west,0.0049808892962764
Western Governors University,57821,Utah,White,41898,west,0.7246156240812162
Western Governors University,57821,Utah,Two Or More Races,1660,west,0.0287092924715933
Western Governors University,57821,Utah,Unknown,1614,west,0.0279137337645492
Western Governors University,57821,Utah,Non-Resident Foreign,73,west,0.00126251707857
Western Governors University,57821,Utah,Total Minority,14236,west,0.2462081250756645
American Public University system,57539,West Virginia,Women,22009,south,0.3825057786892368
American Public University system,57539,West Virginia,American Indian / Alaska Native,397,south,0.0068996680512348
American Public University system,57539,West Virginia,Asian,1106,south,0.0192217452510471
American Public University system,57539,West Virginia,Black,11842,south,0.2058082344149185
American Public University system,57539,West Virginia,Hispanic,5656,south,0.0982985453344688
American Public University system,57539,West Virginia,Native Hawaiian / Pacific Islander,526,south,0.0091416256799735
American Public University system,57539,West Virginia,White,32587,south,0.5663463042458159
American Public University system,57539,West Virginia,Two Or More Races,2053,south,0.0356801473782999
American Public University system,57539,West Virginia,Unknown,2876,south,0.0499834894593232
American Public University system,57539,West Virginia,Non-Resident Foreign,496,south,0.008620240184918
American Public University system,57539,West Virginia,Total Minority,21580,south,0.3750499661099428
Walden University,52188,Minnesota,Women,39871,midwest,0.7639878899363839
Walden University,52188,Minnesota,American Indian / Alaska Native,267,midwest,0.005116118647965
Walden University,52188,Minnesota,Asian,1343,midwest,0.0257338851843335
Walden University,52188,Minnesota,Black,18914,midwest,0.3624204798037863
Walden University,52188,Minnesota,Hispanic,3021,midwest,0.0578868705449528
Walden University,52188,Minnesota,Native Hawaiian / Pacific Islander,116,midwest,0.0022227331953705
Walden University,52188,Minnesota,White,20280,midwest,0.3885950793285813
Walden University,52188,Minnesota,Two Or More Races,1090,midwest,0.020886027439258
Walden University,52188,Minnesota,Unknown,6618,midwest,0.1268107610945044
Walden University,52188,Minnesota,Non-Resident Foreign,539,midwest,0.0103280447612477
Walden University,52188,Minnesota,Total Minority,24751,midwest,0.4742661148156664
Kaplan University at Davenport (Iowa),52018,Iowa,Women,39852,midwest,0.7661194202006998
Kaplan University at Davenport (Iowa),52018,Iowa,American Indian / Alaska Native,862,midwest,0.0165711868968434
Kaplan University at Davenport (Iowa),52018,Iowa,Asian,1032,midwest,0.0198392864008612
Kaplan University at Davenport (Iowa),52018,Iowa,Black,16014,midwest,0.3078549732784805
Kaplan University at Davenport (Iowa),52018,Iowa,Hispanic,4537,midwest,0.0872198085278173
Kaplan University at Davenport (Iowa),52018,Iowa,Native Hawaiian / Pacific Islander,311,midwest,0.0059786996808796
Kaplan University at Davenport (Iowa),52018,Iowa,White,24268,midwest,0.4665308162559114
