name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Aaniiih Nakoda College,Montana,MT,Public,2 Year,,2380,2380,2380,2380
Abilene Christian University,Texas,TX,Private,4 Year,10350.0,34850,45200,34850,45200
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,8474.0,4128,12602,12550,21024
Academy College,Minnesota,MN,For Profit,2 Year,,17661,17661,17661,17661
Academy of Art University,California,CA,For Profit,4 Year,16648.0,27810,44458,27810,44458
Adams State University,Colorado,CO,Public,4 Year,8782.0,9440,18222,20456,29238
Adelphi University,New York,NY,Private,4 Year,16030.0,38660,54690,38660,54690
Adirondack Community College,New York,NY,Public,2 Year,11660.0,5375,17035,9935,21595
Adrian College,Michigan,MI,Private,4 Year,11318.0,37087,48405,37087,48405
Advanced Technology Institute,Virginia,VA,For Profit,2 Year,,13680,13680,13680,13680
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200.0,15150,19350,15150,19350
Agnes Scott College,Georgia,GA,Private,4 Year,12330.0,41160,53490,41160,53490
Aiken Technical College,South Carolina,SC,Public,2 Year,,5160,5160,8010,8010
Aims Community College,Colorado,CO,Public,2 Year,,2281,2281,13018,13018
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,8379.0,9698,18077,17918,26297
Alabama Southern Community College,Alabama,AL,Public,2 Year,,4440,4440,8880,8880
Alabama State University,Alabama,AL,Public,4 Year,5422.0,11068,16490,19396,24818
Alamance Community College,North Carolina,NC,Public,2 Year,,2310,2310,8070,8070
Alaska Bible College,Alaska,AK,Private,4 Year,5700.0,9300,15000,9300,15000
Alaska Pacific University,Alaska,AK,Private,4 Year,7300.0,20830,28130,20830,28130
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920.0,35105,46025,35105,46025
Albany State University,Georgia,GA,Public,4 Year,8878.0,6726,15604,19802,28680
Albany Technical College,Georgia,GA,Public,2 Year,,3246,3246,5916,5916
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200.0,32060,45260,32060,45260
Albion College,Michigan,MI,Private,4 Year,12380.0,45775,58155,45775,58155
Albright College,Pennsylvania,PA,Private,4 Year,12070.0,45306,57376,45306,57376
Alcorn State University,Mississippi,MS,Public,4 Year,9608.0,7144,16752,7144,16752
Alderson-Broaddus University,West Virginia,WV,Private,4 Year,8860.0,27910,36770,27910,36770
Alexandria Technical and Community College,Minnesota,MN,Public,2 Year,,5416,5416,5416,5416
Alfred University,New York,NY,Private,4 Year,12516.0,33484,46000,33484,46000
Allan Hancock College,California,CA,Public,2 Year,,1418,1418,7898,7898
Allegany College of Maryland,Maryland,MD,Public,2 Year,,4140,4140,9210,9210
Allegheny College,Pennsylvania,PA,Private,4 Year,12140.0,47540,59680,47540,59680
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,4000.0,6400,10400,6400,10400
Allen College,Iowa,IA,Private,4 Year,7282.0,19970,27252,19970,27252
Allen County Community College,Kansas,KS,Public,2 Year,5070.0,3150,8220,3150,8220
Allen University,South Carolina,SC,Private,4 Year,7230.0,13340,20570,13340,20570
Alliant International University,California,CA,Private,4 Year,,18000,18000,18000,18000
Alma College,Michigan,MI,Private,4 Year,10998.0,40258,51256,40258,51256
Alpena Community College,Michigan,MI,Public,2 Year,,4530,4530,6840,6840
Alvernia University,Pennsylvania,PA,Private,4 Year,,34885,34885,34885,34885
Alverno College,Wisconsin,WI,Private,4 Year,8546.0,28302,36848,28302,36848
Alvin Community College,Texas,TX,Public,2 Year,,1998,1998,4818,4818
Amarillo College,Texas,TX,Public,2 Year,,2670,2670,5880,5880
Amberton University,Texas,TX,Private,4 Year,,12840,12840,12840,12840
American Academy McAllister Institute of Funeral Service,New York,NY,Private,2 Year,,17160,17160,17160,17160
American Academy of Art,Illinois,IL,Private,4 Year,,34100,34100,34100,34100
American Academy of Dramatic Arts,New York,NY,Private,2 Year,17955.0,35160,53115,35160,53115
American Academy of Dramatic Arts: West,California,CA,Private,2 Year,13255.0,35160,48415,35160,48415
American Baptist College,Tennessee,TN,Private,4 Year,8640.0,10950,19590,10950,19590
American Indian College of the Assemblies of God,Arizona,AZ,Private,4 Year,6250.0,958,7208,958,7208
American International College,Massachusetts,MA,Private,4 Year,14300.0,35680,49980,35680,49980
American Jewish University,California,CA,Private,4 Year,17362.0,31826,49188,31826,49188
